measure_id,hcahps_question,hcahps_answer_description,hcahps_answer_percent,start_date,end_date
H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",80,04/01/2024,03/31/2025
H_COMP_1_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well","Nurses ""sometimes"" or ""never"" communicated well",4,04/01/2024,03/31/2025
H_COMP_1_U_P,"Patients who reported that their nurses ""Usually"" communicated well","Nurses ""usually"" communicated well",16,04/01/2024,03/31/2025
H_NURSE_RESPECT_A_P,"Patients who reported that their nurses ""Always"" treated them with courtesy and respect","Nurses ""always"" treated them with courtesy and  respect",87,04/01/2024,03/31/2025
H_NURSE_RESPECT_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never""  treated them with courtesy and respect","Nurses ""sometimes"" or ""never"" treated them with courtesy and  respect",3,04/01/2024,03/31/2025
H_NURSE_RESPECT_U_P,"Patients who reported that their nurses ""Usually""  treated them with courtesy and respect","Nurses ""usually""  treated them with courtesy and  respect",10,04/01/2024,03/31/2025
H_NURSE_LISTEN_A_P,"Patients who reported that their nurses ""Always"" listened carefully to them","Nurses ""always"" listened carefully",77,04/01/2024,03/31/2025
H_NURSE_LISTEN_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" listened carefully to them","Nurses ""sometimes"" or ""never"" listened carefully",5,04/01/2024,03/31/2025
H_NURSE_LISTEN_U_P,"Patients who reported that their nurses ""Usually"" listened carefully to them","Nurses ""usually"" listened carefully",18,04/01/2024,03/31/2025
H_NURSE_EXPLAIN_A_P,"Patients who reported that their nurses ""Always"" explained things in a way they could understand","Nurses ""always"" explained things so they could understand",75,04/01/2024,03/31/2025
H_NURSE_EXPLAIN_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" explained things in a way they could understand","Nurses ""sometimes"" or ""never"" explained things so they could understand",5,04/01/2024,03/31/2025
H_NURSE_EXPLAIN_U_P,"Patients who reported that their nurses ""Usually"" explained things in a way they could understand","Nurses ""usually"" explained things so they could understand",20,04/01/2024,03/31/2025
H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",80,04/01/2024,03/31/2025
H_COMP_2_SN_P,"Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well","Doctors ""sometimes"" or ""never"" communicated well",5,04/01/2024,03/31/2025
H_COMP_2_U_P,"Patients who reported that their doctors ""Usually"" communicated well","Doctors ""usually"" communicated well",15,04/01/2024,03/31/2025
H_DOCTOR_RESPECT_A_P,"Patients who reported that their doctors ""Always"" treated them with courtesy and respect","Doctors ""always"" treated them with courtesy and  respect",86,04/01/2024,03/31/2025
H_DOCTOR_RESPECT_SN_P,"Patients who reported that their doctors ""Sometimes"" or ""Never""  treated them with courtesy and respect","Doctors ""sometimes"" or ""never"" treated them with courtesy and  respect",4,04/01/2024,03/31/2025
H_DOCTOR_RESPECT_U_P,"Patients who reported that their doctors ""Usually""  treated them with courtesy and respect","Doctors ""usually""  treated them with courtesy and  respect",10,04/01/2024,03/31/2025
H_DOCTOR_LISTEN_A_P,"Patients who reported that their doctors ""Always"" listened carefully to them","Doctors ""always"" listened carefully",78,04/01/2024,03/31/2025
H_DOCTOR_LISTEN_SN_P,"Patients who reported that their doctors ""Sometimes"" or ""Never"" listened carefully to them","Doctors ""sometimes"" or ""never"" listened carefully",5,04/01/2024,03/31/2025
H_DOCTOR_LISTEN_U_P,"Patients who reported that their doctors ""Usually"" listened carefully to them","Doctors ""usually"" listened carefully",17,04/01/2024,03/31/2025
H_DOCTOR_EXPLAIN_A_P,"Patients who reported that their doctors ""Always"" explained things in a way they could understand","Doctors ""always"" explained things so they could understand",75,04/01/2024,03/31/2025
H_DOCTOR_EXPLAIN_SN_P,"Patients who reported that their doctors ""Sometimes"" or ""Never"" explained things in a way they could understand","Doctors ""sometimes"" or ""never"" explained things so they could understand",6,04/01/2024,03/31/2025
H_DOCTOR_EXPLAIN_U_P,"Patients who reported that their doctors ""Usually"" explained things in a way they could understand","Doctors ""usually"" explained things so they could understand",19,04/01/2024,03/31/2025
H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",62,04/01/2024,03/31/2025
H_COMP_5_SN_P,"Patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them","Staff ""sometimes"" or ""never"" explained",19,04/01/2024,03/31/2025
H_COMP_5_U_P,"Patients who reported that staff ""Usually"" explained about medicines before giving it to them","Staff ""usually"" explained",19,04/01/2024,03/31/2025
H_MED_FOR_A_P,"Patients who reported that when receiving new medication the staff ""Always"" communicated what the medication was for","Staff ""always"" explained new medications",75,04/01/2024,03/31/2025
H_MED_FOR_SN_P,"Patients who reported that when receiving new medication the staff ""Sometimes"" or ""Never"" communicated what the medication was for","Staff ""sometimes"" or ""never"" explained new medications",9,04/01/2024,03/31/2025
H_MED_FOR_U_P,"Patients who reported that when receiving new medication the staff ""Usually"" communicated what the medication was for.","Staff ""usually"" explained new medications",16,04/01/2024,03/31/2025
H_SIDE_EFFECTS_A_P,"Patients who reported that when receiving new medication the staff ""Always"" discussed possible side effects","Staff ""always"" explained possible side effects",48,04/01/2024,03/31/2025
H_SIDE_EFFECTS_SN_P,"Patients who reported that when receiving new medication the staff ""Sometimes"" or ""Never"" discussed possible side effects","Staff ""sometimes"" or ""never"" explained possible side effects",30,04/01/2024,03/31/2025
H_SIDE_EFFECTS_U_P,"Patients who reported that when receiving new medication the staff ""Usually"" discussed possible side effects","Staff ""usually"" explained possible side effects",22,04/01/2024,03/31/2025
H_COMP_6_N_P,"Patients who reported that NO, they were not given information about what to do during their recovery at home","No, staff ""did not"" give patients this information",13,04/01/2024,03/31/2025
H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",87,04/01/2024,03/31/2025
H_DISCH_HELP_N_P,"Patients who reported that NO, they did not discuss whether they would need help after discharge","No, staff ""did not"" give patients information about help after discharge",15,04/01/2024,03/31/2025
H_DISCH_HELP_Y_P,"Patients who reported that YES, they did discuss whether they would need help after discharge","Yes, staff ""did"" give patients information about help after discharge",85,04/01/2024,03/31/2025
H_SYMPTOMS_N_P,"Patients who reported that NO, they did not receive written information about possible symptoms to look out for after discharge","No, staff ""did not"" give patients information about possible symptoms",12,04/01/2024,03/31/2025
H_SYMPTOMS_Y_P,"Patients who reported that YES, they did receive written information about possible symptoms to look out for after discharge","Yes, staff ""did"" give patients information about possible symptoms",88,04/01/2024,03/31/2025
H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",74,04/01/2024,03/31/2025
H_CLEAN_HSP_SN_P,"Patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean","Room was ""sometimes"" or ""never"" clean",9,04/01/2024,03/31/2025
H_CLEAN_HSP_U_P,"Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean",17,04/01/2024,03/31/2025
H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",60,04/01/2024,03/31/2025
H_QUIET_HSP_SN_P,"Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",10,04/01/2024,03/31/2025
H_QUIET_HSP_U_P,"Patients who reported that the area around their room was ""Usually"" quiet at night","""Usually"" quiet at night",30,04/01/2024,03/31/2025
H_HSP_RATING_0_6,Patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""6"" or lower (low)",8,04/01/2024,03/31/2025
H_HSP_RATING_7_8,Patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""7"" or ""8"" (medium)",20,04/01/2024,03/31/2025
H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",72,04/01/2024,03/31/2025
H_RECMND_DN,"Patients who reported NO, they would probably not or definitely not recommend the hospital","""NO"", patients would not recommend the hospital (they probably would not or definitely would not recommend it)",6,04/01/2024,03/31/2025
H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital","""YES"", patients would definitely recommend the hospital",71,04/01/2024,03/31/2025
H_RECMND_PY,"Patients who reported YES, they would probably recommend the hospital","""YES"", patients would probably recommend the hospital",23,04/01/2024,03/31/2025
